iter	Passed	Remaining
0	53	53657
1	68	33990
2	85	28476
3	101	25194
4	119	23766
5	135	22375
6	149	21193
7	163	20326
8	178	19640
9	195	19315
10	209	18840
11	222	18323
12	238	18107
13	253	17868
14	266	17531
15	280	17255
16	296	17129
17	310	16939
18	322	16654
19	338	16577
20	353	16494
21	369	16441
22	383	16292
23	396	16130
24	411	16062
25	427	15997
26	440	15861
27	453	15744
28	465	15592
29	479	15504
30	495	15488
31	510	15443
32	526	15434
33	539	15337
34	552	15228
35	566	15182
36	579	15079
37	590	14953
38	606	14951
39	618	14854
40	633	14812
41	647	14764
42	661	14729
43	671	14581
44	687	14580
45	698	14493
46	711	14421
47	724	14378
48	736	14303
49	749	14246
50	764	14234
51	777	14165
52	782	13975
53	796	13952
54	812	13959
55	826	13938
56	839	13891
57	853	13864
58	867	13842
59	872	13673
60	886	13638
61	900	13627
62	914	13603
63	928	13580
64	948	13640
65	959	13576
66	978	13625
67	993	13612
68	1006	13578
69	1015	13488
70	1029	13472
71	1042	13440
72	1057	13432
73	1070	13398
74	1083	13365
75	1096	13333
76	1110	13315
77	1118	13225
78	1131	13189
79	1144	13162
80	1157	13136
81	1171	13120
82	1189	13138
83	1203	13119
84	1218	13111
85	1232	13102
86	1245	13074
87	1260	13064
88	1273	13037
89	1286	13008
90	1301	12997
91	1315	12984
92	1329	12968
93	1344	12957
94	1358	12942
95	1372	12920
96	1383	12879
97	1398	12874
98	1410	12836
99	1425	12827
100	1439	12809
101	1454	12801
102	1469	12794
103	1481	12764
104	1495	12744
105	1508	12725
106	1521	12701
107	1534	12677
108	1548	12654
109	1562	12644
110	1576	12623
111	1591	12617
112	1604	12592
113	1618	12581
114	1633	12570
115	1646	12548
116	1661	12541
117	1676	12527
118	1689	12507
119	1704	12501
120	1718	12482
121	1732	12466
122	1745	12444
123	1758	12423
124	1774	12418
125	1789	12412
126	1804	12401
127	1816	12378
128	1833	12378
129	1846	12359
130	1861	12348
131	1875	12331
132	1889	12315
133	1904	12308
